dataset,event_id,method,huber_delta_s,objective_s,relocated_rms_s,origin_shift_s,relocated_depth_km,delta_horizontal_km,delta_depth_km,depth_boundary
new30,SGC2023tdymfy,HSSO-E,1.5,0.20606702166817187,0.20606702166817187,-0.8224326164518896,42.71521612036478,13.732071326224638,18.90521612036478,False
new30,SGC2023wlnqql,HSSO-E,1.5,0.0985250663395145,0.0985250663395145,-1.5036759377457,37.54609794791534,4.2488149781268785,3.206097947915339,False
new30,SGC2025qrozun,HSSO-E,1.5,0.18139356951174396,0.18139356951174396,-1.5066705656507544,39.37128654260331,4.757357658216935,5.25128654260331,False
new30,SGC2026boggwn,HSSO-E,1.5,0.16653814402589967,0.16653814402589967,-0.3335460340402765,62.57379380697278,19.61511774909175,17.703793806972783,False
new30,SGC2025pgzatv,HSSO-E,1.5,0.185868420789779,0.185868420789779,-0.9429028732327822,59.658666362848756,8.576941531929123,15.778666362848753,False
new30,SGC2025yxrhgz,HSSO-E,1.5,0.5307269649705542,0.5307269649705542,-0.14145795085553825,31.5,6.201819198677938,-20.0,True
new30,SGC2023scytrc,HSSO-E,1.5,0.0720985021749921,0.0720985021749921,3.118741047786555,52.338801265667314,19.838809962778672,0.26848876566731406,False
new30,SGC2026baehdu,HSSO-E,1.5,0.5009831880772385,0.5009831880772385,1.6758519727117562,73.81503531229941,32.00652511558569,8.96503531229942,False
new30,SGC2025wvcvfj,HSSO-E,1.5,0.13952122341557366,0.13952122341557366,0.610526769649919,75.39251192245727,31.0010847685454,7.752511922457273,False
new30,SGC2026afswai,HSSO-E,1.5,0.2050265257704756,0.2050265257704756,-0.13684675884919173,73.5302278396267,10.48558228486218,2.0402278396267093,False
new30,SGC2025yymqxd,HSSO-E,1.5,0.36044349769211137,0.36044349769211137,0.02631123791875467,72.57723485275392,5.90488223642678,-5.61276514724608,False
new30,SGC2025xyrfux,HSSO-E,1.5,0.1976586123158963,0.1976586123158963,1.8087459903750105,78.50855779130195,30.462229118819366,-5.821442208698045,False
new30,SGC2026cmuvbi,HSSO-E,1.5,0.14589634133856907,0.14589634133856907,0.558924339520452,94.94077131032115,27.744489362998326,8.610771310321155,False
new30,SGC2026asvptr,HSSO-E,1.5,0.2086506156109048,0.2086506156109048,-2.0136955663859775,117.57336134894337,4.041202275547783,18.513361348943363,False
new30,SGC2026arcexx,HSSO-E,1.5,0.2821015621678926,0.2821015621678926,-2.2770336800009296,110.0,10.506531363675142,20.0,True
new30,SGC2026apmkrl,HSSO-E,1.5,0.1298560563266275,0.1298560563266275,-1.0843317442896794,118.1015374093399,6.815630457272862,10.611537409339903,False
